Feature_1,Feature_2,Cluster_Label
2.391512218945512,2.8468282893062344,4
-5.905877254361646,-4.693278047899804,7
-2.1846494321169434,8.954000396859357,0
-7.187042894145726,-7.169906528320881,2
1.8636970080909294,4.248186314382056,4
-0.16689842896735785,-3.050576298934746,9
5.599809118558562,0.03359695381682659,1
4.201492974653571,2.194786050978622,1
4.895714790113328,1.070806485854149,1
-8.231620666432962,9.11045864549265,3
-5.2051086552646355,-5.486706351106429,7
3.977649061157165,5.043008826742635,1
-10.204990866062563,7.959455365647235,5
-8.180097257351811,-5.574859078615937,7
-7.489395428328043,-7.057445975856912,2
3.486639710565436,2.869436602955693,4
-9.872048718166983,9.25465349399736,5
-9.096983877313248,9.066190917176911,5
-4.5204623607658485,-1.3287427268980245,8
8.41259392655343,-6.499942053907272,6
-4.718246700650724,7.47879376811548,0
5.7848653761421085,-6.862093155243755,6
-0.1758254080481656,-5.106144829764285,9
-4.1421833583393415,0.391523202748685,8
-6.709176013879522,-5.814682253318252,7
3.7796920515047354,-0.26667425654693977,1
-5.014634686293541,-5.855338421413278,2
-5.721150209641865,-5.396752727108485,2
-2.912139262200904,11.017111958545593,0
-11.473692935425412,10.696013946799575,5
-0.5171950334425485,-6.303947354682183,9
-2.0944017021297463,-4.464286360826022,9
1.237622168873484,4.194227611742635,4
-5.871878243362128,-7.048302109036443,7
-7.602978778717982,8.370301371532843,3
2.3766361636092177,3.2296525873293085,4
-5.937094821149824,-8.503031060437234,7
-6.740534648045168,0.5170315856720928,8
1.2079285613112518,3.7795665226297643,4
-2.702740477051961,9.499147156375768,0
-8.836588507139219,9.302306900044826,5
-0.9086164543809732,-0.046840674367578994,8
-4.5636067475937105,-0.46665207355245086,8
-8.85687885983363,7.531748562630395,5
-1.681024832999415,8.532821561935318,0
-3.0604307025010433,7.9944728848405715,0
1.0732420848306972,4.202261271394685,4
-6.738904423519815,-5.094806596891035,7
-11.362842662699494,11.40491612815692,5
6.191065518219524,-7.337809918520515,6
-1.9950377246246718,2.329126508828252,8
7.086326588834984,-6.569425958052018,6
-10.519359901883732,9.492953898041588,5
-0.1666013986183159,-3.4847428850427233,9
-1.3963216696965186,-3.7010484928599645,9
4.1697690573755155,0.8662774625425289,1
-9.990073699017353,7.24549170740953,5
4.22149627493867,1.5540604387586174,1
-2.111681505368473,10.184940280745153,0
-9.75400891567773,10.107560384748606,5
3.970888694218701,0.3294061084458386,1
3.6435877057599426,5.224880982222664,4
-7.539095754241567,-5.848604128900185,2
-8.356036572174453,10.117690092734312,5
-3.9970985901263942,0.17902027050135244,8
-8.630889272425385,7.150067478494346,5
4.928782651614383,5.095189420957206,1
6.456018528118658,2.730143705406465,1
-10.17497345693638,11.304925437372786,5
-9.536466196706476,5.914866958207936,3
